userID,placeID,name,link,rating,comment
1,1,Minh Thien,https://www.foody.vn/thanh-vien/minhthien9969,7.2,Ăn  sáng  cùng ông nội 93 tuổi..  Không gian  rộng lớn   Nội thất  đẹp   không khí  trong lành  nhờ công Viên  xanh kế bên...  Có  cả  khu vực vui chơi trẻ em.....  Đồ ăn   đa dạng  Đồ tàu. Việt Nam   .. Âu  ...  Cũng  có..  Đều   Đồ ăn thì   đặc mức trung bình  ... Khá  với khu vực q6    ...  Nơi ngồi lý tưởng nhất...  Mat mẽ ko cần  máy lạnh
2,1,Tây An,https://www.foody.vn/thanh-vien/handsome.gay20,7.4,Cuối tuần ở đây là nơi lý tưởng để đi ăn sáng đó các bạn Không gian rộng thoải mái Đồ ăn ok giá cũng khá là ok luônCuối tuần nên rất đông nên tranh thủ đi sơm nhé
3,1,Zu Ngoan Ngoãn,https://www.foody.vn/thanh-vien/zu.lun3b,7.4,"Hôm rồi mới đi ăn cưới ở đây, mới ghé được 2 lần à. 💧 Không gian : cũng ấm cúng, rộng rãi , có khu vui chơi cho trẻ em , có lầu. 💧 Vị trí : gần công viên bình phú cũng dễ tìm. 💧 Thức ăn : đa số các món ăn đều ngon và hợp khẩu vị. Hôm mình đi có heo quay nướng thịt mềm thơm, bao tử hầm tiêu ăn ngon , Cá thì hơi dai xíu, cơm với mì cũng ổn. Nói chung là thức ăn không có gì để phàn nàn. 😬 💧 Điểm trừ là : phục vụ còn chậm, xin thêm nước gần 20p mới có không biết phải thiếu người không nữa. Bàn tiệc ngồi 12 người quá chật, không thoải mái. 💧 Giữ xe 5k nhen."
4,1,Quỳnh Như,https://www.foody.vn/thanh-vien/quynhnhu243,8.0,Gia đình mình mỗi lần lễ hay sinh nhật gi cũng đến đây ăn vì đồ ăn ở đây nấu hợp khẩu vị của mọi người và má chồng mình thích món vit quay bắc kinh ở đây.lần nào đi cũng kêu món vịt quay.Ở đây có mấy món chay cũng ngon nữa ai muốn ăn chạy đến đây ăn cũng được nè.Không gian rộng rãi thoáng mát có khu vui chơi cho trẻ em nữa.
5,1,julie dang,https://www.foody.vn/thanh-vien/juliedang3008,8.6,"Không gian rộng , thoải mái, có khu vui chơi cho trẻ , đồ ăn thì đầu bếp toàn người hoa nên dimsum đây rất ngon !!! Nhân viên chức thì có người thân thiện ,người không"
6,2,Dân Bích Chương ♑,https://www.foody.vn/thanh-vien/kelsi.bichtran,8.2,"Nhà hàng nằm ở vị trí đắc địa của thành phố , quá lý tưởng luôn . Không gian rất sang trọng sang trọng , decor đẹp lắm , rất chất . Ngoài việc free salad trong lúc chờ món ăn thì beefsteak ở đây làm vừa đúng yêu cầu , trình bày đẹp . Kem decor dễ thương mà ăn cũng ngon miệng không kém ,  béo lắm luôn . Nhân viên phục vụ ân cần chu đáo , chuyên nghiệp , tư vấn cho khách tận tình lúc order món .Giá cả cao , lâu lâu có tiệc hay gì mới dám ghé hưởng thụ 1 lần ."
7,2,Bi Bi,https://www.foody.vn/thanh-vien/kiss_rook,7.8,"quán nằm ngay bên Duxton hotel, mặt đườn Nguyễn Huệ nên dễ kiếm , nhân viên bảo vệ rất nhiệt tình, nhân viên phục vụ cũng niềm nở, chu đáo. Đồ ăn cũng được, sốt tiêu nhà hàng này làm hơi khác lạ tiêu nhiều quá, nói chung là k thích sốt tiêu ở đây, sốt nấm thì hơi ngọt .. đi 3 ng khoảng 5tr ... giá cũng chát nhémón chính: 1 sườn nướng 700g  = 1tr41 Bò Wagyu  150g = 1tr21 trai ruou vang"
8,2,Nguyen Ngoc,https://www.foody.vn/thanh-vien/nttngoc71,6.4,"Hôm trước công ty mình đến đây ăn, mình ăn sườn nướng sốt Amigo cay, món ăn vị cũng được, không có gì đặc sắc, mình thấy chưa xứng với giá tiền mình bỏ ra. Nếu tự bỏ tiền mình sẽ không chọn ăn ở đây!"
9,2,Trang Trang Trần,https://www.foody.vn/thanh-vien/TrangTrang241,8.8,"Cuối tuần nghỉ ngơi, gia đình mình có ghé quán ăn. Quán không quá lớn, nhưng nằm ngay mặt tiền phố đi bộ nên rât dễ tìm. Quán được trang trí có chút phong cách châu âu, rất sang. Từ chú bảo vệ cho đến nhân viên rất nhiệt tình, luôn niềm nở (kết nhất là anh nhân viên, tướng cai to, dễ thương và rất đẹp trai). Gia đình mình có gọi từ thịt bò úc cho đến thịt bò mỹ, thỉ cừu..mỗi loại một món. Cách trang trí rất đơn giản và tao nhã, món ăn rất vừa miệng và ngon, được phục vụ tận tình nữa. Chỉ có cái là do nằm ở phố nguyễn huệ nên giá cả hơi cao xíu. Tổng bill gia đình mình ăn là hơn 4tr. Trong đó có một món bị lỗi nên được bù lại một món khác và không tính tiền. 😊 Rất ưng ý!!"
10,2,Rin,https://www.foody.vn/thanh-vien/rin9082,7.0,Ôi me ơi giờ mới biết bún cua ở đây giá 868k/tô chưa thuế 😱😱 có cần phải mắc dữ thần như vậy hông 😱😱😱
